n1=32 n2=32 n3=32 nreps=100 num_threads=24 HALF_LENGTH=4
n1_thrd_block=32 n2_thrd_block=1 n3_thrd_block=124
allocating prev, next and vel: total 0.375046 Mbytes
rank:0(0 0 0):0.000000
rank:0(1 0 0):0.841471
rank:0(2 0 0):0.909297
rank:0(3 0 0):0.141120
rank:0(4 0 0):-0.756802
rank:0(5 0 0):-0.958924
rank:0(6 0 0):-0.279415
rank:0(7 0 0):0.656987
rank:0(8 0 0):0.989358
rank:0(9 0 0):0.412118
rank:0(10 0 0):-0.544021
rank:0(11 0 0):-0.999990
rank:0(12 0 0):-0.536573
rank:0(13 0 0):0.420167
rank:0(14 0 0):0.990607
rank:0(15 0 0):0.650288
rank:0(16 0 0):-0.287903
rank:0(17 0 0):-0.961397
rank:0(18 0 0):-0.750987
rank:0(19 0 0):0.149877
rank:0(20 0 0):0.912945
rank:0(21 0 0):0.836656
rank:0(22 0 0):-0.008851
rank:0(23 0 0):-0.846220
rank:0(24 0 0):-0.905578
rank:0(25 0 0):-0.132352
rank:0(26 0 0):0.762558
rank:0(27 0 0):0.956376
rank:0(28 0 0):0.270906
rank:0(29 0 0):-0.663634
rank:0(30 0 0):-0.988032
rank:0(31 0 0):-0.404038
rank:0(0 1 0):-0.544021
rank:0(1 1 0):-0.999990
rank:0(2 1 0):-0.536573
rank:0(3 1 0):0.420167
rank:0(4 1 0):0.990607
rank:0(5 1 0):0.650288
rank:0(6 1 0):-0.287903
rank:0(7 1 0):-0.961397
rank:0(8 1 0):-0.750987
rank:0(9 1 0):0.149877
rank:0(10 1 0):0.912945
rank:0(11 1 0):0.836656
rank:0(12 1 0):-0.008851
rank:0(13 1 0):-0.846220
rank:0(14 1 0):-0.905578
rank:0(15 1 0):-0.132352
rank:0(16 1 0):0.762558
rank:0(17 1 0):0.956376
rank:0(18 1 0):0.270906
rank:0(19 1 0):-0.663634
rank:0(20 1 0):-0.988032
rank:0(21 1 0):-0.404038
rank:0(22 1 0):0.551427
rank:0(23 1 0):0.999912
rank:0(24 1 0):0.529083
rank:0(25 1 0):-0.428183
rank:0(26 1 0):-0.991779
rank:0(27 1 0):-0.643538
rank:0(28 1 0):0.296369
rank:0(29 1 0):0.963795
rank:0(30 1 0):0.745113
rank:0(31 1 0):-0.158623
rank:0(0 2 0):0.912945
rank:0(1 2 0):0.836656
rank:0(2 2 0):-0.008851
rank:0(3 2 0):-0.846220
rank:0(4 2 0):-0.905578
rank:0(5 2 0):-0.132352
rank:0(6 2 0):0.762558
rank:0(7 2 0):0.956376
rank:0(8 2 0):0.270906
rank:0(9 2 0):-0.663634
rank:0(10 2 0):-0.988032
rank:0(11 2 0):-0.404038
rank:0(12 2 0):0.551427
rank:0(13 2 0):0.999912
rank:0(14 2 0):0.529083
rank:0(15 2 0):-0.428183
rank:0(16 2 0):-0.991779
rank:0(17 2 0):-0.643538
rank:0(18 2 0):0.296369
rank:0(19 2 0):0.963795
rank:0(20 2 0):0.745113
rank:0(21 2 0):-0.158623
rank:0(22 2 0):-0.916522
rank:0(23 2 0):-0.831775
rank:0(24 2 0):0.017702
rank:0(25 2 0):0.850904
rank:0(26 2 0):0.901788
rank:0(27 2 0):0.123573
rank:0(28 2 0):-0.768255
rank:0(29 2 0):-0.953753
rank:0(30 2 0):-0.262375
rank:0(31 2 0):0.670229
rank:0(0 3 0):-0.988032
rank:0(1 3 0):-0.404038
rank:0(2 3 0):0.551427
rank:0(3 3 0):0.999912
rank:0(4 3 0):0.529083
rank:0(5 3 0):-0.428183
rank:0(6 3 0):-0.991779
rank:0(7 3 0):-0.643538
rank:0(8 3 0):0.296369
rank:0(9 3 0):0.963795
rank:0(10 3 0):0.745113
rank:0(11 3 0):-0.158623
rank:0(12 3 0):-0.916522
rank:0(13 3 0):-0.831775
rank:0(14 3 0):0.017702
rank:0(15 3 0):0.850904
rank:0(16 3 0):0.901788
rank:0(17 3 0):0.123573
rank:0(18 3 0):-0.768255
rank:0(19 3 0):-0.953753
rank:0(20 3 0):-0.262375
rank:0(21 3 0):0.670229
rank:0(22 3 0):0.986628
rank:0(23 3 0):0.395925
rank:0(24 3 0):-0.558789
rank:0(25 3 0):-0.999755
rank:0(26 3 0):-0.521551
rank:0(27 3 0):0.436165
rank:0(28 3 0):0.992873
rank:0(29 3 0):0.636738
rank:0(30 3 0):-0.304811
rank:0(31 3 0):-0.966118
rank:0(0 4 0):0.745113
rank:0(1 4 0):-0.158623
rank:0(2 4 0):-0.916522
rank:0(3 4 0):-0.831775
rank:0(4 4 0):0.017702
rank:0(5 4 0):0.850904
rank:0(6 4 0):0.901788
rank:0(7 4 0):0.123573
rank:0(8 4 0):-0.768255
rank:0(9 4 0):-0.953753
rank:0(10 4 0):-0.262375
rank:0(11 4 0):0.670229
rank:0(12 4 0):0.986628
rank:0(13 4 0):0.395925
rank:0(14 4 0):-0.558789
rank:0(15 4 0):-0.999755
rank:0(16 4 0):-0.521551
rank:0(17 4 0):0.436165
rank:0(18 4 0):0.992873
rank:0(19 4 0):0.636738
rank:0(20 4 0):-0.304811
rank:0(21 4 0):-0.966118
rank:0(22 4 0):-0.739181
rank:0(23 4 0):0.167356
rank:0(24 4 0):0.920026
rank:0(25 4 0):0.826829
rank:0(26 4 0):-0.026551
rank:0(27 4 0):-0.855520
rank:0(28 4 0):-0.897928
rank:0(29 4 0):-0.114785
rank:0(30 4 0):0.773891
rank:0(31 4 0):0.951055
rank:0(0 5 0):-0.262375
rank:0(1 5 0):0.670229
rank:0(2 5 0):0.986628
rank:0(3 5 0):0.395925
rank:0(4 5 0):-0.558789
rank:0(5 5 0):-0.999755
rank:0(6 5 0):-0.521551
rank:0(7 5 0):0.436165
rank:0(8 5 0):0.992873
rank:0(9 5 0):0.636738
rank:0(10 5 0):-0.304811
rank:0(11 5 0):-0.966118
rank:0(12 5 0):-0.739181
rank:0(13 5 0):0.167356
rank:0(14 5 0):0.920026
rank:0(15 5 0):0.826829
rank:0(16 5 0):-0.026551
rank:0(17 5 0):-0.855520
rank:0(18 5 0):-0.897928
rank:0(19 5 0):-0.114785
rank:0(20 5 0):0.773891
rank:0(21 5 0):0.951055
rank:0(22 5 0):0.253823
rank:0(23 5 0):-0.676772
rank:0(24 5 0):-0.985146
rank:0(25 5 0):-0.387782
rank:0(26 5 0):0.566108
rank:0(27 5 0):0.999520
rank:0(28 5 0):0.513978
rank:0(29 5 0):-0.444113
rank:0(30 5 0):-0.993889
rank:0(31 5 0):-0.629888
rank:0(0 6 0):-0.304811
rank:0(1 6 0):-0.966118
rank:0(2 6 0):-0.739181
rank:0(3 6 0):0.167356
rank:0(4 6 0):0.920026
rank:0(5 6 0):0.826829
rank:0(6 6 0):-0.026551
rank:0(7 6 0):-0.855520
rank:0(8 6 0):-0.897928
rank:0(9 6 0):-0.114785
rank:0(10 6 0):0.773891
rank:0(11 6 0):0.951055
rank:0(12 6 0):0.253823
rank:0(13 6 0):-0.676772
rank:0(14 6 0):-0.985146
rank:0(15 6 0):-0.387782
rank:0(16 6 0):0.566108
rank:0(17 6 0):0.999520
rank:0(18 6 0):0.513978
rank:0(19 6 0):-0.444113
rank:0(20 6 0):-0.993889
rank:0(21 6 0):-0.629888
rank:0(22 6 0):0.313229
rank:0(23 6 0):0.968364
rank:0(24 6 0):0.733190
rank:0(25 6 0):-0.176076
rank:0(26 6 0):-0.923458
rank:0(27 6 0):-0.821818
rank:0(28 6 0):0.035398
rank:0(29 6 0):0.860069
rank:0(30 6 0):0.893997
rank:0(31 6 0):0.105988
rank:0(0 7 0):0.773891
rank:0(1 7 0):0.951055
rank:0(2 7 0):0.253823
rank:0(3 7 0):-0.676772
rank:0(4 7 0):-0.985146
rank:0(5 7 0):-0.387782
rank:0(6 7 0):0.566108
rank:0(7 7 0):0.999520
rank:0(8 7 0):0.513978
rank:0(9 7 0):-0.444113
rank:0(10 7 0):-0.993889
rank:0(11 7 0):-0.629888
rank:0(12 7 0):0.313229
rank:0(13 7 0):0.968364
rank:0(14 7 0):0.733190
rank:0(15 7 0):-0.176076
rank:0(16 7 0):-0.923458
rank:0(17 7 0):-0.821818
rank:0(18 7 0):0.035398
rank:0(19 7 0):0.860069
rank:0(20 7 0):0.893997
rank:0(21 7 0):0.105988
rank:0(22 7 0):-0.779466
rank:0(23 7 0):-0.948282
rank:0(24 7 0):-0.245252
rank:0(25 7 0):0.683262
rank:0(26 7 0):0.983588
rank:0(27 7 0):0.379608
rank:0(28 7 0):-0.573382
rank:0(29 7 0):-0.999207
rank:0(30 7 0):-0.506366
rank:0(31 7 0):0.452026
rank:0(0 8 0):-0.993889
rank:0(1 8 0):-0.629888
rank:0(2 8 0):0.313229
rank:0(3 8 0):0.968364
rank:0(4 8 0):0.733190
rank:0(5 8 0):-0.176076
rank:0(6 8 0):-0.923458
rank:0(7 8 0):-0.821818
rank:0(8 8 0):0.035398
rank:0(9 8 0):0.860069
rank:0(10 8 0):0.893997
rank:0(11 8 0):0.105988
rank:0(12 8 0):-0.779466
rank:0(13 8 0):-0.948282
rank:0(14 8 0):-0.245252
rank:0(15 8 0):0.683262
rank:0(16 8 0):0.983588
rank:0(17 8 0):0.379608
rank:0(18 8 0):-0.573382
rank:0(19 8 0):-0.999207
rank:0(20 8 0):-0.506366
rank:0(21 8 0):0.452026
rank:0(22 8 0):0.994827
rank:0(23 8 0):0.622989
rank:0(24 8 0):-0.321622
rank:0(25 8 0):-0.970535
rank:0(26 8 0):-0.727143
rank:0(27 8 0):0.184782
rank:0(28 8 0):0.926818
rank:0(29 8 0):0.816743
rank:0(30 8 0):-0.044243
rank:0(31 8 0):-0.864551
rank:0(0 9 0):0.893997
rank:0(1 9 0):0.105988
rank:0(2 9 0):-0.779466
rank:0(3 9 0):-0.948282
rank:0(4 9 0):-0.245252
rank:0(5 9 0):0.683262
rank:0(6 9 0):0.983588
rank:0(7 9 0):0.379608
rank:0(8 9 0):-0.573382
rank:0(9 9 0):-0.999207
rank:0(10 9 0):-0.506366
rank:0(11 9 0):0.452026
rank:0(12 9 0):0.994827
rank:0(13 9 0):0.622989
rank:0(14 9 0):-0.321622
rank:0(15 9 0):-0.970535
rank:0(16 9 0):-0.727143
rank:0(17 9 0):0.184782
rank:0(18 9 0):0.926818
rank:0(19 9 0):0.816743
rank:0(20 9 0):-0.044243
rank:0(21 9 0):-0.864551
rank:0(22 9 0):-0.889996
rank:0(23 9 0):-0.097182
rank:0(24 9 0):0.784980
rank:0(25 9 0):0.945435
rank:0(26 9 0):0.236661
rank:0(27 9 0):-0.689698
rank:0(28 9 0):-0.981952
rank:0(29 9 0):-0.371404
rank:0(30 9 0):0.580611
rank:0(31 9 0):0.998815
rank:0(0 10 0):-0.506366
rank:0(1 10 0):0.452026
rank:0(2 10 0):0.994827
rank:0(3 10 0):0.622989
rank:0(4 10 0):-0.321622
rank:0(5 10 0):-0.970535
rank:0(6 10 0):-0.727143
rank:0(7 10 0):0.184782
rank:0(8 10 0):0.926818
rank:0(9 10 0):0.816743
rank:0(10 10 0):-0.044243
rank:0(11 10 0):-0.864551
rank:0(12 10 0):-0.889996
rank:0(13 10 0):-0.097182
rank:0(14 10 0):0.784980
rank:0(15 10 0):0.945435
rank:0(16 10 0):0.236661
rank:0(17 10 0):-0.689698
rank:0(18 10 0):-0.981952
rank:0(19 10 0):-0.371404
rank:0(20 10 0):0.580611
rank:0(21 10 0):0.998815
rank:0(22 10 0):0.498713
rank:0(23 10 0):-0.459903
rank:0(24 10 0):-0.995687
rank:0(25 10 0):-0.616040
rank:0(26 10 0):0.329991
rank:0(27 10 0):0.972630
rank:0(28 10 0):0.721038
rank:0(29 10 0):-0.193473
rank:0(30 10 0):-0.930106
rank:0(31 10 0):-0.811603
rank:0(0 11 0):-0.044243
rank:0(1 11 0):-0.864551
rank:0(2 11 0):-0.889996
rank:0(3 11 0):-0.097182
rank:0(4 11 0):0.784980
rank:0(5 11 0):0.945435
rank:0(6 11 0):0.236661
rank:0(7 11 0):-0.689698
rank:0(8 11 0):-0.981952
rank:0(9 11 0):-0.371404
rank:0(10 11 0):0.580611
rank:0(11 11 0):0.998815
rank:0(12 11 0):0.498713
rank:0(13 11 0):-0.459903
rank:0(14 11 0):-0.995687
rank:0(15 11 0):-0.616040
rank:0(16 11 0):0.329991
rank:0(17 11 0):0.972630
rank:0(18 11 0):0.721038
rank:0(19 11 0):-0.193473
rank:0(20 11 0):-0.930106
rank:0(21 11 0):-0.811603
rank:0(22 11 0):0.053084
rank:0(23 11 0):0.868966
rank:0(24 11 0):0.885925
rank:0(25 11 0):0.088369
rank:0(26 11 0):-0.790433
rank:0(27 11 0):-0.942514
rank:0(28 11 0):-0.228052
rank:0(29 11 0):0.696080
rank:0(30 11 0):0.980240
rank:0(31 11 0):0.363171
rank:0(0 12 0):0.580611
rank:0(1 12 0):0.998815
rank:0(2 12 0):0.498713
rank:0(3 12 0):-0.459903
rank:0(4 12 0):-0.995687
rank:0(5 12 0):-0.616040
rank:0(6 12 0):0.329991
rank:0(7 12 0):0.972630
rank:0(8 12 0):0.721038
rank:0(9 12 0):-0.193473
rank:0(10 12 0):-0.930106
rank:0(11 12 0):-0.811603
rank:0(12 12 0):0.053084
rank:0(13 12 0):0.868966
rank:0(14 12 0):0.885925
rank:0(15 12 0):0.088369
rank:0(16 12 0):-0.790433
rank:0(17 12 0):-0.942514
rank:0(18 12 0):-0.228052
rank:0(19 12 0):0.696080
rank:0(20 12 0):0.980240
rank:0(21 12 0):0.363171
rank:0(22 12 0):-0.587795
rank:0(23 12 0):-0.998345
rank:0(24 12 0):-0.491022
rank:0(25 12 0):0.467745
rank:0(26 12 0):0.996469
rank:0(27 12 0):0.609044
rank:0(28 12 0):-0.338333
rank:0(29 12 0):-0.974649
rank:0(30 12 0):-0.714876
rank:0(31 12 0):0.202150
rank:0(0 13 0):-0.930106
rank:0(1 13 0):-0.811603
rank:0(2 13 0):0.053084
rank:0(3 13 0):0.868966
rank:0(4 13 0):0.885925
rank:0(5 13 0):0.088369
rank:0(6 13 0):-0.790433
rank:0(7 13 0):-0.942514
rank:0(8 13 0):-0.228052
rank:0(9 13 0):0.696080
rank:0(10 13 0):0.980240
rank:0(11 13 0):0.363171
rank:0(12 13 0):-0.587795
rank:0(13 13 0):-0.998345
rank:0(14 13 0):-0.491022
rank:0(15 13 0):0.467745
rank:0(16 13 0):0.996469
rank:0(17 13 0):0.609044
rank:0(18 13 0):-0.338333
rank:0(19 13 0):-0.974649
rank:0(20 13 0):-0.714876
rank:0(21 13 0):0.202150
rank:0(22 13 0):0.933321
rank:0(23 13 0):0.806401
rank:0(24 13 0):-0.061920
rank:0(25 13 0):-0.873312
rank:0(26 13 0):-0.881785
rank:0(27 13 0):-0.079549
rank:0(28 13 0):0.795824
rank:0(29 13 0):0.939520
rank:0(30 13 0):0.219425
rank:0(31 13 0):-0.702408
rank:0(0 14 0):0.980240
rank:0(1 14 0):0.363171
rank:0(2 14 0):-0.587795
rank:0(3 14 0):-0.998345
rank:0(4 14 0):-0.491022
rank:0(5 14 0):0.467745
rank:0(6 14 0):0.996469
rank:0(7 14 0):0.609044
rank:0(8 14 0):-0.338333
rank:0(9 14 0):-0.974649
rank:0(10 14 0):-0.714876
rank:0(11 14 0):0.202150
rank:0(12 14 0):0.933321
rank:0(13 14 0):0.806401
rank:0(14 14 0):-0.061920
rank:0(15 14 0):-0.873312
rank:0(16 14 0):-0.881785
rank:0(17 14 0):-0.079549
rank:0(18 14 0):0.795824
rank:0(19 14 0):0.939520
rank:0(20 14 0):0.219425
rank:0(21 14 0):-0.702408
rank:0(22 14 0):-0.978450
rank:0(23 14 0):-0.354910
rank:0(24 14 0):0.594933
rank:0(25 14 0):0.997797
rank:0(26 14 0):0.483292
rank:0(27 14 0):-0.475550
rank:0(28 14 0):-0.997173
rank:0(29 14 0):-0.602000
rank:0(30 14 0):0.346649
rank:0(31 14 0):0.976591
rank:0(0 15 0):-0.714876
rank:0(1 15 0):0.202150
rank:0(2 15 0):0.933321
rank:0(3 15 0):0.806401
rank:0(4 15 0):-0.061920
rank:0(5 15 0):-0.873312
rank:0(6 15 0):-0.881785
rank:0(7 15 0):-0.079549
rank:0(8 15 0):0.795824
rank:0(9 15 0):0.939520
rank:0(10 15 0):0.219425
rank:0(11 15 0):-0.702408
rank:0(12 15 0):-0.978450
rank:0(13 15 0):-0.354910
rank:0(14 15 0):0.594933
rank:0(15 15 0):0.997797
rank:0(16 15 0):0.483292
rank:0(17 15 0):-0.475550
rank:0(18 15 0):-0.997173
rank:0(19 15 0):-0.602000
rank:0(20 15 0):0.346649
rank:0(21 15 0):0.976591
rank:0(22 15 0):0.708659
rank:0(23 15 0):-0.210811
rank:0(24 15 0):-0.936462
rank:0(25 15 0):-0.801135
rank:0(26 15 0):0.070752
rank:0(27 15 0):0.877590
rank:0(28 15 0):0.877575
rank:0(29 15 0):0.070722
rank:0(30 15 0):-0.801153
rank:0(31 15 0):-0.936451
rank:0(0 16 0):0.219425
rank:0(1 16 0):-0.702408
rank:0(2 16 0):-0.978450
rank:0(3 16 0):-0.354910
rank:0(4 16 0):0.594933
rank:0(5 16 0):0.997797
rank:0(6 16 0):0.483292
rank:0(7 16 0):-0.475550
rank:0(8 16 0):-0.997173
rank:0(9 16 0):-0.602000
rank:0(10 16 0):0.346649
rank:0(11 16 0):0.976591
rank:0(12 16 0):0.708659
rank:0(13 16 0):-0.210811
rank:0(14 16 0):-0.936462
rank:0(15 16 0):-0.801135
rank:0(16 16 0):0.070752
rank:0(17 16 0):0.877590
rank:0(18 16 0):0.877575
rank:0(19 16 0):0.070722
rank:0(20 16 0):-0.801153
rank:0(21 16 0):-0.936451
rank:0(22 16 0):-0.210781
rank:0(23 16 0):0.708680
rank:0(24 16 0):0.976584
rank:0(25 16 0):0.346621
rank:0(26 16 0):-0.602024
rank:0(27 16 0):-0.997171
rank:0(28 16 0):-0.475524
rank:0(29 16 0):0.483318
rank:0(30 16 0):0.997799
rank:0(31 16 0):0.594909
rank:0(0 17 0):0.346649
rank:0(1 17 0):0.976591
rank:0(2 17 0):0.708659
rank:0(3 17 0):-0.210811
rank:0(4 17 0):-0.936462
rank:0(5 17 0):-0.801135
rank:0(6 17 0):0.070752
rank:0(7 17 0):0.877590
rank:0(8 17 0):0.877575
rank:0(9 17 0):0.070722
rank:0(10 17 0):-0.801153
rank:0(11 17 0):-0.936451
rank:0(12 17 0):-0.210781
rank:0(13 17 0):0.708680
rank:0(14 17 0):0.976584
rank:0(15 17 0):0.346621
rank:0(16 17 0):-0.602024
rank:0(17 17 0):-0.997171
rank:0(18 17 0):-0.475524
rank:0(19 17 0):0.483318
rank:0(20 17 0):0.997799
rank:0(21 17 0):0.594909
rank:0(22 17 0):-0.354938
rank:0(23 17 0):-0.978457
rank:0(24 17 0):-0.702386
rank:0(25 17 0):0.219455
rank:0(26 17 0):0.939530
rank:0(27 17 0):0.795806
rank:0(28 17 0):-0.079579
rank:0(29 17 0):-0.881799
rank:0(30 17 0):-0.873297
rank:0(31 17 0):-0.061890
rank:0(0 18 0):-0.801153
rank:0(1 18 0):-0.936451
rank:0(2 18 0):-0.210781
rank:0(3 18 0):0.708680
rank:0(4 18 0):0.976584
rank:0(5 18 0):0.346621
rank:0(6 18 0):-0.602024
rank:0(7 18 0):-0.997171
rank:0(8 18 0):-0.475524
rank:0(9 18 0):0.483318
rank:0(10 18 0):0.997799
rank:0(11 18 0):0.594909
rank:0(12 18 0):-0.354938
rank:0(13 18 0):-0.978457
rank:0(14 18 0):-0.702386
rank:0(15 18 0):0.219455
rank:0(16 18 0):0.939530
rank:0(17 18 0):0.795806
rank:0(18 18 0):-0.079579
rank:0(19 18 0):-0.881799
